Comune;Totale;alberghieri;extralberghieri;italiani;stranieri;semestre estivo;semestre invernale;Saldo Estate Invermo;;
001 Aldino;15268;12557;2711;5821;9447;9233;6035;3198;;
002 Andriano;15721;14347;1374;4306;11415;11302;4419;6883;;
003 Anterivo;3682;3521;161;948;2734;2288;1394;894;;
004 Appiano s.s.d.v.;101270;79001;22269;14507;86763;79085;22185;56900;;
005 Avelengo;56579;50031;6548;11713;44866;35737;20842;14895;;
006 Badia;208694;158884;49810;118375;90319;88874;119820;-30946;;
007 Barbiano;26772;22197;4575;2254;24518;18635;8137;10498;;
008 Bolzano;314316;267525;46791;124741;189575;188653;125663;62990;;
009 Braies;37615;29701;7914;22904;14711;26024;11591;14433;;
010 Brennero;49792;40286;9506;20054;29738;25308;24484;824;;
011 Bressanone;182940;141566;41374;65860;117080;110681;72259;38422;;
012 Bronzolo;2591;2591;0;1697;894;1614;977;637;;
013 Brunico;128589;110984;17605;64829;63760;63351;65238;-1887;;
014 Caines;3610;2153;1457;285;3325;3007;603;2404;;
015 Caldaro s.s.d.v.;121088;81402;39686;8460;112628;102739;18349;84390;;
016 Campo di Trens;56039;51141;4898;16453;39586;36190;19849;16341;;
017 Campo Tures;88117;76093;12024;42164;45953;48184;39933;8251;;
018 Castelbello-Ciardes;13573;11321;2252;1291;12282;11528;2045;9483;;
019 Castelrotto;287460;246682;40778;122456;165004;157374;130086;27288;;
020 Cermes;16404;13884;2520;1789;14615;12697;3707;8990;;
021 Chienes;73073;67207;5866;26673;46400;40689;32384;8305;;
022 Chiusa;63482;47052;16430;17454;46028;45341;18141;27200;;
023 Cornedo all'Isarco;20814;18233;2581;5315;15499;14935;5879;9056;;
024 Cortaccia s.s.d.v.;11776;6714;5062;1142;10634;9093;2683;6410;;
025 Cortina s.s.d.v.;10944;10625;319;2422;8522;7176;3768;3408;;
026 Corvara in Badia;189011;159542;29469;98319;90692;81880;107131;-25251;;
027 Curon Venosta;85293;66636;18657;21331;63962;45442;39851;5591;;
028 Dobbiaco;141642;85282;56360;94042;47600;95798;45844;49954;;
029 Egna;11029;10190;839;3897;7132;7713;3316;4397;;
030 Falzes;31629;26921;4708;13971;17658;15903;15726;177;;
031 Fie' allo Sciliar;75468;46415;29053;19548;55920;51992;23476;28516;;
032 Fortezza;12731;12731;0;4024;8707;8884;3847;5037;;
033 Funes;30918;14012;16906;12416;18502;25628;5290;20338;;
034 Gais;38607;36789;1818;15661;22946;20182;18425;1757;;
