"","V1","V2"
"1",11.8607991,46.4997284
"2",11.8607696,46.4997572
"3",11.8606442,46.4998586
"4",11.860671,46.4998997
"5",11.8610259,46.4998561
"6",11.8612813,46.4997474
"7",11.861456,46.4996578
"8",11.8619541,46.4991962
"9",11.86256,46.4990135
"10",11.8633456,46.498683
"11",11.8638174,46.4984206
"12",11.8646643,46.4978303
"13",11.8664136,46.4970599
"14",11.8667563,46.4971894
"15",11.8671035,46.497416
"16",11.8675193,46.4975466
"17",11.8689093,46.4976043
"18",11.870019,46.4974112
"19",11.8708916,46.4972394
"20",11.8716075,46.4971153
"21",11.8719374,46.4970898
"22",11.8722235,46.4970778
"23",11.8723837,46.4971192
"24",11.7993772,46.554115
"25",11.7991912,46.5542687
"26",11.7988032,46.5541705
"27",11.79841,46.5540436
"28",11.7973769,46.553934
"29",11.7962872,46.5540117
"30",11.7951923,46.5540855
"31",11.7945716,46.5541037
"32",11.793896,46.5541932
"33",11.7931311,46.5544254
"34",11.7915961,46.5546144
"35",11.7900425,46.5548436
"36",11.7856233,46.5561153
"37",11.7850704,46.5561709
"38",11.7848146,46.5561386
"39",11.7846351,46.5560609
"40",11.7844596,46.5557509
"41",11.7843518,46.5556185
"42",11.784189,46.5555053
"43",11.783587,46.5553866
"44",11.7829031,46.5554085
"45",11.7815416,46.5560147
"46",11.7807822,46.5563424
"47",11.7798752,46.5566231
"48",11.7791555,46.556681
"49",11.7785359,46.5566147
"50",11.7780155,46.556649
"51",11.7765638,46.5571096
"52",11.7980795,46.5505775
"53",11.797346,46.5499137
"54",11.7968962,46.5497186
"55",11.7959534,46.5498703
"56",11.7951189,46.5505639
"57",11.7950376,46.5509053
"58",11.7936201,46.5515424
"59",11.8635852,46.4771198
"60",11.8633579,46.4774712
"61",11.8627414,46.4784242
"62",11.8620168,46.4797459
"63",11.861332,46.4813613
"64",11.8610942,46.4820596
"65",11.8607986,46.4829873
"66",11.8608074,46.4837846
"67",11.8607696,46.4855849
"68",11.8609456,46.4867886
"69",11.8616069,46.4875935
"70",11.8619197,46.48964
"71",11.863014,46.4909405
"72",11.8650298,46.4925713
"73",11.8665367,46.4935003
"74",11.8748164,46.4894599
"75",11.8742632,46.4902873
"76",11.8740095,46.4907077
"77",11.8733158,46.4918573
"78",11.8728606,46.4923169
"79",11.8726592,46.4937179
"80",11.872792,46.4943389
"81",11.8729404,46.4947466
"82",11.8730718,46.4950162
"83",11.8768462,46.4843236
"84",11.8768151,46.4846205
"85",11.8768057,46.4850586
