"","V1","V2"
"1",11.8607991,46.4997284
"2",11.8605924,46.4998142
"3",11.8605521,46.4999837
"4",11.860129,46.5007008
"5",11.8599134,46.5015288
"6",11.8599145,46.5021738
"7",11.8600624,46.5024442
"8",11.8603844,46.5027947
"9",11.8609802,46.5032979
"10",11.8611789,46.5036476
"11",11.8611575,46.5039426
"12",11.8610855,46.5044823
"13",11.860968,46.5046966
"14",11.8608433,46.5047792
"15",11.8606274,46.5048131
"16",11.8607061,46.5048911
"17",11.8631431,46.5127989
"18",11.8631742,46.5128611
"19",11.8635159,46.5128573
"20",11.8638937,46.5127171
"21",11.864318,46.5126474
"22",11.8725959,46.5199741
"23",11.8728129,46.5201445
"24",11.8451387,46.5502105
"25",11.8450289,46.5500886
"26",11.844808,46.5501164
"27",11.8445132,46.549814
"28",11.8440571,46.5492037
"29",11.8438076,46.5484315
"30",11.8434895,46.5481509
"31",11.8431494,46.5479852
"32",11.7693179,46.5329733
"33",11.7698809,46.533089
"34",11.7703532,46.5331904
"35",11.7707586,46.5332734
"36",11.7714922,46.5334554
"37",11.7716104,46.5334857
"38",11.7693179,46.5329733
"39",11.769816,46.5328841
"40",11.7704315,46.5328349
"41",11.7708393,46.5328062
"42",11.7710893,46.5327714
"43",11.771318,46.5327043
"44",11.7713965,46.5326408
"45",11.7714051,46.5325956
"46",11.7712225,46.5324516
"47",11.7636642,46.5264259
"48",11.7635568,46.5262764
"49",11.7635663,46.5261709
"50",11.7635063,46.5257143
"51",11.7634936,46.5253124
"52",11.7637023,46.5247111
"53",11.7638824,46.5245108
"54",11.7642743,46.5240718
"55",11.7645938,46.5237269
"56",11.7647948,46.5235489
"57",11.7648414,46.5235079
"58",11.764818,46.5233951
"59",11.7646926,46.5233767
"60",11.7524242,46.5158463
"61",11.7523221,46.5159097
"62",11.7524619,46.5161353
"63",11.7525258,46.5161391
"64",11.7525975,46.516153
"65",11.7526477,46.5161383
"66",11.7527401,46.5160748
"67",11.7528457,46.5159849
"68",11.7528965,46.5158803
"69",11.7530051,46.5156561
"70",11.7529962,46.5155299
"71",11.7530427,46.5153589
"72",11.7528359,46.5147633
"73",11.7528236,46.5141919
"74",11.7526743,46.5138938
"75",11.7526457,46.5135037
"76",11.7526264,46.513276
"77",11.7525572,46.5129631
"78",11.7524971,46.5128385
"79",11.752387,46.5127117
"80",11.7519738,46.512457
"81",11.7518424,46.5123088
"82",11.7515849,46.5120638
"83",11.7515013,46.5119753
"84",11.7514204,46.5118859
"85",11.7514093,46.5118174
"86",11.7514091,46.5116677
"87",11.7514058,46.511576
"88",11.7514761,46.5114855
"89",11.7519317,46.5110411
