;Gruppi di nazioni;Italia;Italia;Germania;Germania;Austria;Austria;Svizzera e Liechtenstein;Svizzera e Liechtenstein;Benelux;Benelux;Altri paesi;Altri paesi;Totale;Totale
Tipologia;Categoria;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze;Arrivi;Presenze
Esercizi alberghieri;4-5 Stelle;70896;262675;39055;196490;4558;14057;5039;22466;2835;15585;19694;110056;142077;621329
Esercizi alberghieri;3 Stelle;92304;342222;89410;432326;5121;16894;4134;16643;6424;32275;21868;106786;219261;947146
Esercizi alberghieri;1-2 Stelle;24814;97873;31047;148370;1066;3337;580;2089;1115;4937;6335;32312;64957;288918
Esercizi alberghieri;Residence;19057;108773;13087;72444;743;2346;680;3063;884;4733;15648;91437;50099;282796
Esercizi alberghieri;Totale;207071;811543;172599;849630;11488;36634;10433;44261;11258;57530;63545;340591;476394;2140189
Esercizi extralberghieri;Campeggi;3852;19743;1838;15364;78;316;54;322;133;1470;143;529;6098;37744
Esercizi extralberghieri;Alloggi privati;15774;90791;12895;69399;614;2047;394;1679;1388;8429;11121;65080;42186;237425
Esercizi extralberghieri;Esercizi agrituristici;11590;62462;9586;56612;348;1457;191;741;203;1493;5806;30945;27724;153710
Esercizi extralberghieri;Altri esercizi;6531;22570;1895;7973;172;384;72;193;39;169;913;4093;9622;35382
Esercizi extralberghieri;Totale;37747;195566;26214;149348;1212;4204;711;2935;1763;11561;17983;100647;85630;464261
Totale;;244818;1007109;198813;998978;12700;40838;11144;47196;13021;69091;81528;441238;562024;2604450
