"","V1","V2"
"1",11.8049547,46.4822306
"2",11.8046885,46.4821907
"3",11.8042345,46.4821484
"4",11.8033941,46.4821989
"5",11.8678182,46.5256092
"6",11.8678081,46.5258794
"7",11.8680738,46.5263165
"8",11.8681965,46.5265265
"9",11.868568,46.5267627
"10",11.8688817,46.5269032
"11",11.8691301,46.5269712
"12",11.8698421,46.5273558
"13",11.8700937,46.5274653
"14",11.8707549,46.5279489
"15",11.8708759,46.5288991
"16",11.8709021,46.53024
"17",11.8707402,46.5312577
"18",11.8705047,46.5320834
"19",11.8702422,46.5326616
"20",11.8697802,46.5332233
"21",11.8695254,46.5336521
"22",11.8695218,46.5340245
"23",11.8697423,46.5350565
"24",11.8698604,46.5360217
"25",11.8705398,46.5370075
"26",11.8711047,46.5381116
"27",11.871863,46.5398707
"28",11.8723259,46.5409317
"29",11.8726855,46.5416824
"30",11.8727766,46.5424018
"31",11.8733805,46.5432663
"32",11.8735919,46.5438037
"33",11.8734772,46.5447876
"34",11.873308,46.5455478
"35",11.8728329,46.5463362
"36",11.8723693,46.5470453
"37",11.8720232,46.547656
"38",11.8715109,46.5480566
"39",11.871189,46.5482149
"40",11.8049093,46.5542682
"41",11.8045125,46.5541193
"42",11.8043656,46.5539846
"43",11.8043297,46.5538053
"44",11.8118757,46.5560165
"45",11.8117034,46.5561709
"46",11.8112359,46.5562438
"47",11.8109071,46.5562071
"48",11.8107616,46.5561955
"49",11.8103498,46.5561259
"50",11.8099659,46.5559875
"51",11.8093411,46.5556823
"52",11.8089544,46.5552686
"53",11.8088176,46.5548723
"54",11.8088559,46.5544433
"55",11.8089447,46.5538196
"56",11.8089382,46.5530655
"57",11.8093274,46.5524453
"58",11.8091244,46.5523656
"59",11.7515516,46.5383382
"60",11.7515332,46.5384273
"61",11.7515664,46.5384977
"62",11.7516679,46.5386538
"63",11.7517196,46.5387155
"64",11.7518385,46.5388315
"65",11.7519487,46.5389352
"66",11.7522004,46.5391204
"67",11.7525208,46.5394135
"68",11.7527179,46.5395923
"69",11.7526717,46.5386761
"70",11.7524858,46.5386383
"71",11.7522437,46.538598
"72",11.7515664,46.5384977
"73",11.7515664,46.5384977
"74",11.7517898,46.5384844
"75",11.7518649,46.5383775
"76",11.7519226,46.5382972
"77",11.7522123,46.5379872
"78",11.7529097,46.5370167
"79",11.7532882,46.5364565
"80",11.7535182,46.5362867
"81",11.7537757,46.5362132
"82",11.7541353,46.5361987
"83",11.7544195,46.5361864
"84",11.7546883,46.5361768
"85",11.755067,46.5361337
"86",11.7551985,46.5360629
"87",11.755344,46.535955
"88",11.7555069,46.5358307
"89",11.7556076,46.5356979
"90",11.7556068,46.5354936
"91",11.7498039,46.5343039
"92",11.749818,46.5343442
"93",11.7498419,46.5344716
"94",11.7498554,46.5346304
"95",11.7501522,46.5347329
"96",11.750393,46.534783
"97",11.7507262,46.5348216
"98",11.7508925,46.5348107
"99",11.7512914,46.5347744
"100",11.7517069,46.5347113
"101",11.752077,46.5346338
"102",11.7524042,46.534571
"103",11.7527046,46.5344456
"104",11.7529344,46.5342716
"105",11.7532494,46.5341003
"106",11.7534673,46.5340328
"107",11.7540654,46.533969
"108",11.7544618,46.5339289
"109",11.7546405,46.5339187
"110",11.754762,46.5339122
"111",11.7548415,46.5339103
"112",11.7548652,46.5339418
"113",11.7548273,46.5339976
"114",11.7546405,46.5339187
"115",11.7548697,46.5336763
"116",11.7551669,46.5334219
"117",11.7555912,46.5332343
"118",11.7558043,46.5331278
"119",11.7560052,46.5330278
"120",11.7561767,46.5329092
"121",11.7563353,46.5328046
"122",11.7564672,46.5326919
"123",11.7565859,46.5326102
"124",11.7567385,46.5325048
"125",11.7569258,46.5323491
"126",11.7571252,46.5322472
"127",11.7572754,46.5321629
"128",11.7574237,46.5321192
"129",11.7575891,46.5320937
"130",11.757718,46.5320709
"131",11.7578347,46.5320773
"132",11.7583075,46.5321049
"133",11.7585764,46.5321342
"134",11.7588663,46.5321376
"135",11.7594573,46.5320835
"136",11.7600449,46.5319978
"137",11.7605895,46.5318977
"138",11.7610869,46.5317942
"139",11.7613391,46.5317705
"140",11.761566,46.5317818
"141",11.7620022,46.5318696
"142",11.7623447,46.5319761
"143",11.7632535,46.5321069
"144",11.763866,46.5321927
"145",11.7642689,46.5322325
"146",11.7644908,46.5322506
"147",11.7648546,46.5322808
"148",11.762745,46.5258354
"149",11.7629874,46.5258297
"150",11.7635063,46.5257143
"151",11.7643617,46.5254902
"152",11.7645017,46.5254206
"153",11.7650552,46.5251454
"154",11.7656426,46.5249434
"155",11.7661619,46.5248509
"156",11.766673,46.52484
"157",11.7669024,46.5248768
"158",11.7671764,46.524957
"159",11.7673158,46.5250577
"160",11.7675514,46.5252937
"161",11.7677993,46.5254703
"162",11.7679167,46.5256751
"163",11.7682999,46.5259348
"164",11.7686126,46.5260195
"165",11.7689368,46.5261257
"166",11.7692988,46.5263346
"167",11.769444,46.526514
"168",11.7697109,46.5267661
"169",11.7698768,46.5268558
"170",11.7701967,46.5269837
"171",11.7709995,46.5273489
"172",11.7717331,46.527786
"173",11.7718947,46.5279385
"174",11.7439575,46.5057993
"175",11.7439315,46.5057558
"176",11.7441484,46.5057474
"177",11.7445343,46.5057162
"178",11.7448563,46.5056825
"179",11.7452607,46.5056289
"180",11.7455256,46.5055466
"181",11.7458306,46.5054386
"182",11.7460507,46.5052336
"183",11.7448758,46.5046146
"184",11.7448087,46.5046779
"185",11.7447869,46.5047493
"186",11.7449874,46.5048486
"187",11.7452148,46.5049542
"188",11.7460507,46.5052336
"189",11.7461653,46.5052934
"190",11.7465861,46.5055131
"191",11.7473213,46.5057649
"192",11.7493076,46.5336728
"193",11.7494815,46.5336899
"194",11.7495903,46.5338815
"195",11.7496802,46.5341505
"196",11.7497429,46.534245
"197",11.7498039,46.5343039
"198",11.7498039,46.5343039
"199",11.7497603,46.5343054
"200",11.7496802,46.5343043
"201",11.749424,46.5342773
"202",11.7491155,46.5342008
"203",11.7486678,46.5340637
"204",11.748307,46.5339273
"205",11.7471247,46.5335944
"206",11.7465183,46.5334084
"207",11.7459,46.5331867
"208",11.8720232,46.547656
"209",11.8718503,46.5485301
"210",11.752594,46.5388447
"211",11.7528633,46.5390632
"212",11.7531591,46.5391846
"213",11.7532569,46.5391846
"214",11.7535454,46.5391091
"215",11.753908,46.5388926
"216",11.7542514,46.5387007
"217",11.7546044,46.5385793
"218",11.7551457,46.5384628
"219",11.7558965,46.5384088
"220",11.7566368,46.5384162
"221",11.7571303,46.5384014
"222",11.7577204,46.5384604
"223",11.7585133,46.5385547
"224",11.7587828,46.5385793
"225",11.7588353,46.5386367
"226",11.7588209,46.538704
"227",11.7588209,46.538704
"228",11.7588448,46.5387368
"229",11.7589163,46.5387827
"230",11.7589927,46.5388171
"231",11.7590714,46.5388434
"232",11.7592884,46.5388401
"233",11.7594124,46.5388089
"234",11.7597159,46.5387704
"235",11.7598661,46.5387925
"236",11.7600378,46.5387483
"237",11.7601987,46.5386302
"238",11.7602846,46.5384604
"239",11.7602662,46.5382069
"240",11.760424,46.5380914
"241",11.7604348,46.5378258
"242",11.7602202,46.5377151
"243",11.7599133,46.5376115
"244",11.7597105,46.5375016
"245",11.7593726,46.5374346
"246",11.759319,46.5372649
"247",11.7589864,46.537132
"248",11.7586216,46.536918
"249",11.7585679,46.5367778
"250",11.7584607,46.5365047
"251",11.7586323,46.5363128
"252",11.7585872,46.5361188
"253",11.758686,46.5358995
"254",11.7588898,46.5357076
"255",11.7590829,46.5355157
"256",11.7592117,46.5353386
"257",11.7592331,46.5351615
"258",11.7592117,46.534977
"259",11.7591688,46.5348294
"260",11.759158,46.5346817
"261",11.7591151,46.5345563
"262",11.7590078,46.5343422
"263",11.7588362,46.5340987
"264",11.7585779,46.5339901
"265",11.7582077,46.5338204
"266",11.7579288,46.5336875
"267",11.7576606,46.5335325
"268",11.7574728,46.5333443
"269",11.7574192,46.5332225
"270",11.7574192,46.5331192
"271",11.7574943,46.5329753
"272",11.7578751,46.532824
"273",11.757961,46.5326431
"274",11.7583472,46.5324291
"275",11.7584429,46.5323059
"276",11.7585764,46.5321342
"277",11.7997043,46.5536629
"278",11.7998091,46.5537448
"279",11.7998538,46.5537965
