Comune;Totale;alberghieri;extralberghieri;italiani;stranieri;semestre estivo
001 Aldino;4.98;4.97;5.04;4.49;5.28;4.52
002 Andriano;4.11;3.86;6.72;3.48;4.35;4.36
003 Anterivo;5.11;5.20;2.95;5.45;4.99;5.57
004 Appiano s.s.d.v.;4.89;4.45;6.47;4.25;5.00;5.09
005 Avelengo;4.79;4.79;4.86;3.29;5.19;5.02
006 Badia;5.23;5.12;5.58;5.18;5.29;5.08
007 Barbiano;4.58;4.63;4.31;2.95;4.73;4.94
008 Bolzano;2.03;1.90;2.80;1.85;2.15;2.10
009 Braies;3.55;3.50;3.75;3.69;3.34;3.64
010 Brennero;4.03;3.84;4.87;4.16;3.95;4.20
011 Bressanone;3.29;3.07;4.03;3.11;3.39;3.38
012 Bronzolo;3.38;3.38;-;3.16;3.81;3.44
013 Brunico;4.06;3.91;5.04;3.93;4.20;4.01
014 Caines;6.42;6.40;6.45;3.58;6.67;6.70
015 Caldaro s.s.d.v.;4.61;4.23;5.38;2.19;4.79;4.84
016 Campo di Trens;2.31;2.25;2.84;2.97;2.03;2.24
017 Campo Tures;4.80;4.56;6.32;4.43;5.14;5.12
018 Castelbello-Ciardes;4.78;4.51;6.17;3.26;4.94;4.97
019 Castelrotto;5.25;5.04;6.51;4.76;5.61;5.29
020 Cermes;5.19;4.79;7.42;2.37;5.54;5.63
021 Chienes;4.52;4.39;5.99;3.99;4.83;4.76
022 Chiusa;2.64;2.62;2.68;2.74;2.60;2.77
023 Cornedo all'Isarco;3.86;3.85;3.88;2.65;4.27;4.32
024 Cortaccia s.s.d.v.;4.43;3.54;5.62;2.79;4.61;4.78
025 Cortina s.s.d.v.;2.87;2.80;5.17;2.38;3.01;3.08
026 Corvara in Badia;5.13;5.18;4.86;4.99;5.28;4.57
027 Curon Venosta;4.09;4.05;4.23;3.73;4.21;3.34
028 Dobbiaco;3.97;3.77;4.28;4.19;3.54;4.03
029 Egna;2.60;2.34;5.80;2.83;2.47;2.60
030 Falzes;4.77;4.49;6.38;4.54;4.96;5.15
031 Fie' allo Sciliar;5.17;5.01;5.43;4.53;5.39;5.28
032 Fortezza;2.14;2.14;-;2.99;1.75;2.08
033 Funes;4.41;4.64;4.22;4.24;4.53;4.50
034 Gais;4.48;4.40;6.10;4.32;4.59;4.88
035 Gargazzone;4.52;4.47;6.37;3.60;4.77;4.80
036 Glorenza;2.90;1.93;3.60;2.77;2.94;2.97
037 Laces;4.41;4.18;4.92;3.13;4.58;4.56
038 Lagundo;5.44;5.19;6.69;2.55;5.97;5.88
039 Laion;4.18;3.79;5.42;4.06;4.24;4.36
040 Laives;3.29;2.71;5.19;2.87;3.49;3.41
041 Lana;5.48;4.71;6.74;2.91;5.78;5.82
042 Lasa;4.34;2.43;5.01;3.55;4.53;4.47
043 Lauregno;8.61;-;8.61;7.46;10.57;9.26
044 Luson;5.15;5.10;5.64;3.70;5.83;5.73
045 Magre' s.s.d.v.;5.10;1.45;6.49;5.66;4.70;5.09
046 Malles Venosta;4.16;3.96;4.97;3.60;4.32;4.20
047 Marebbe;4.74;5.03;4.19;5.09;4.25;4.44
048 Marlengo;4.99;4.75;6.94;3.43;5.25;5.24
049 Martello;4.32;4.65;3.64;3.73;4.55;4.76
050 Meltina;4.10;3.41;5.38;3.08;4.41;4.42
051 Merano;3.46;3.49;3.30;2.66;3.84;3.70
052 Monguelfo-Tesido;4.67;4.26;6.12;4.21;5.32;5.14
053 Montagna;3.58;3.41;3.89;2.55;3.99;3.74
054 Moso in Passiria;3.81;3.78;3.90;3.17;4.06;3.51
055 Nalles;4.00;3.99;4.01;2.48;4.51;4.50
056 Naturno;5.36;5.02;6.54;3.65;5.54;5.64
057 Naz-Sciaves;4.95;4.89;5.67;4.31;5.10;5.22
058 Nova Levante;4.66;4.36;6.56;3.94;5.01;4.71
059 Nova Ponente;5.05;4.93;6.48;4.20;5.40;5.12
060 Ora;2.88;2.59;5.75;2.34;3.09;3.03
061 Ortisei;5.31;5.04;6.47;5.09;5.64;5.47
062 Parcines;5.13;5.04;5.60;3.14;5.45;5.48
063 Perca;5.17;4.99;5.75;4.68;5.51;5.25
064 Plaus;5.44;5.28;7.31;3.55;5.68;5.87
065 Ponte Gardena;58.20;58.20;-;-;58.20;61.38
066 Postal;3.36;3.24;4.05;2.17;3.85;3.78
067 Prato allo Stelvio;4.70;4.07;5.42;4.42;4.76;4.90
068 Predoi;4.64;4.22;6.31;4.69;4.59;4.98
069 Proves;4.89;4.14;5.52;4.96;4.78;4.99
070 Racines;4.43;4.41;4.58;3.84;4.76;4.74
071 Rasun Anterselva;4.94;4.59;6.02;4.51;5.37;5.19
072 Renon;4.19;4.08;4.48;3.46;4.65;4.65
073 Rifiano;5.01;5.17;4.45;2.38;5.45;5.19
074 Rio di Pusteria;4.95;4.89;5.97;4.34;5.26;5.07
075 Rodengo;4.61;4.61;4.61;4.13;4.79;5.14
076 Salorno;2.25;2.24;2.28;2.19;2.28;2.37
077 S.Candido;4.83;4.60;5.63;4.78;4.97;5.17
079 S.Genesio Atesino;4.49;4.24;5.21;3.28;4.84;4.96
080 S.Leonardo in Passiria;4.64;4.74;3.73;3.13;4.91;4.85
081 S.Lorenzo di Sebato;4.79;4.50;5.52;4.35;5.04;4.92
082 S.Martino in Badia;4.62;4.08;5.82;4.60;4.64;4.90
083 S.Martino in Passiria;4.81;4.80;4.91;2.97;5.22;5.23
084 S.Pancrazio;5.42;4.14;6.65;3.75;5.85;5.77
085 S.Cristina Val Gardena;5.18;4.97;5.76;4.91;5.39;5.19
086 Sarentino;4.02;3.77;5.39;3.53;4.37;4.07
087 Scena;5.90;5.81;7.06;3.11;6.23;6.33
088 Selva dei Molini;5.44;5.40;5.64;5.40;5.46;5.74
089 Selva di Val Gardena;5.42;5.28;6.41;5.07;5.67;5.24
091 Senales;4.54;4.70;3.22;3.83;4.95;4.08
092 Sesto;4.68;4.79;4.51;4.35;5.09;4.84
093 Silandro;3.75;3.57;6.41;3.43;3.81;3.82
094 Sluderno;3.64;3.42;5.77;3.03;3.76;3.68
095 Stelvio;4.48;4.70;3.04;3.84;4.73;3.65
096 Terento;4.58;4.46;6.01;4.30;4.75;5.13
097 Terlano;3.58;3.19;4.80;2.48;3.94;3.83
098 Termeno s.s.d.v.;4.68;3.98;6.36;2.71;4.82;4.84
099 Tesimo;5.26;4.95;5.80;3.05;5.49;5.52
100 Tires;4.97;4.80;6.46;3.92;5.26;5.17
101 Tirolo;5.74;5.73;5.80;2.80;6.01;6.05
102 Trodena nel parco naturale;4.05;3.82;7.36;4.22;3.97;4.01
103 Tubre;4.30;4.17;5.51;4.28;4.31;4.35
104 Ultimo;4.89;4.55;7.37;3.56;5.41;5.10
105 Vadena;5.34;5.24;7.00;3.53;5.43;5.57
106 Valdaora;5.14;4.92;6.02;4.98;5.26;5.48
107 Val di Vizze;3.44;3.62;2.51;4.72;2.69;3.22
108 Valle Aurina;5.31;5.19;6.47;4.76;5.65;5.65
109 Valle di Casies;5.02;4.57;6.39;4.68;5.55;5.68
110 Vandoies;3.53;3.01;5.65;3.91;3.42;3.88
111 Varna;2.85;2.79;2.98;2.68;2.92;2.95
112 Verano;6.06;5.36;6.88;4.80;6.42;6.51
113 Villabassa;4.44;3.87;5.61;4.83;3.74;4.79
114 Villandro;4.58;4.43;5.99;3.68;4.74;4.98
115 Vipiteno;2.41;2.29;9.38;2.87;2.10;2.32
116 Velturno;3.89;3.74;4.35;3.31;4.10;4.10
117 La Valle;5.06;4.62;6.16;4.94;5.17;5.49
118 Senale-S.Felice;3.14;2.98;4.99;2.94;3.26;3.27
Totale;4.48;4.33;5.11;4.03;4.72;4.60
